"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COPRS",1.69969446902679e-27,0.555230512019607,0.283,0.206,5.72695054393885e-23
"CRYAB",1.86416483925214e-27,0.736298479209876,0.201,0.133,6.28111700937615e-23
"CLTA",1.92104858060735e-27,0.513060593035927,0.356,0.276,6.47278108749841e-23
"GAS8",1.92417203317033e-27,-0.732427406190337,0.096,0.164,6.48330524856411e-23
"MRPL41",2.75012954255507e-27,0.3317451149044,0.436,0.34,9.26628648068506e-23
"GAS7",2.89807034310751e-27,0.262732774828586,0.743,0.688,9.76475821406645e-23
"PAK7",4.74792929093086e-27,-0.512836548129671,0.183,0.27,1.59976729528624e-22
"MACF1",5.25918955990524e-27,-0.459607496362156,0.421,0.511,1.77203133031447e-22
"CFAP46",5.43583388197705e-27,-0.972269228946963,0.054,0.107,1.83154986819335e-22
"CDH8",5.61090398157643e-27,-0.543255679024752,0.198,0.284,1.89053798755236e-22
"NDUFA3",6.07599672832612e-27,0.404257451329656,0.417,0.331,2.0472463376422e-22
"TACC1",8.5762483024022e-27,-0.345665538063285,0.477,0.573,2.8896811030114e-22
"RTN3",1.03735337658359e-26,0.174652582313442,0.894,0.85,3.49525846706075e-22
"CA11",1.12523006404936e-26,0.334553350239594,0.563,0.49,3.79135017780792e-22
